epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.273,2.15202,3.99256,2.43393,0.36022,0.07221,0.00587,0.00195,1.93127,412.979,2.31329,0.0700331,0.00332965,0.00332965
2,1235.34,2.06632,3.8678,2.34195,0.59228,0.03095,0.02158,0.00895,1.6576,18.8183,2.03417,0.0400266,0.00665648,0.00665648
3,1845.54,1.98402,3.63428,2.24514,0.54178,0.0707,0.04847,0.02197,1.48376,18.8434,1.95876,0.00999413,0.0099573,0.0099573
4,2457.92,1.90281,3.48018,2.18104,0.57774,0.08214,0.06165,0.0311,1.43598,11.5328,1.88385,0.00991232,0.00991232,0.00991232
5,3071.93,1.86744,3.36461,2.12188,0.56233,0.09514,0.06577,0.03507,1.40993,25.7054,1.81289,0.00984449,0.00984449,0.00984449
6,3688.12,1.82163,3.23613,2.08622,0.64286,0.10685,0.07645,0.03854,1.39001,13.6902,1.83396,0.00975773,0.00975773,0.00975773
7,4305.89,1.77962,3.14839,2.06095,0.57431,0.09019,0.08122,0.04465,1.36261,13.8557,1.79089,0.00965239,0.00965239,0.00965239
8,4921.7,1.7623,3.09172,2.02349,0.52308,0.11996,0.09867,0.05057,1.32866,12.1777,1.77088,0.00952889,0.00952889,0.00952889
9,5535.32,1.73047,3.01288,2.00356,0.59375,0.11236,0.09428,0.04826,1.3617,13.5852,1.81687,0.00938772,0.00938772,0.00938772
10,6156.01,1.70266,2.93375,1.99056,0.8676,0.07237,0.10681,0.05978,1.27876,12.1242,1.69369,0.00922942,0.00922942,0.00922942
11,6771.95,1.68615,2.89749,1.96143,0.70758,0.14657,0.12682,0.06524,1.29042,13.7844,1.68951,0.00905463,0.00905463,0.00905463
12,7380.15,1.67743,2.84435,1.94346,0.59619,0.16696,0.13031,0.07516,1.2455,11.4504,1.66419,0.00886404,0.00886404,0.00886404
13,7989.95,1.64757,2.77623,1.93332,0.55547,0.17998,0.13994,0.07626,1.23513,16.5381,1.65585,0.00865839,0.00865839,0.00865839
14,8598.8,1.63857,2.73902,1.90054,0.62571,0.1418,0.14049,0.07815,1.22933,12.1643,1.6128,0.00843851,0.00843851,0.00843851
15,9205.7,1.61447,2.66672,1.89019,0.53522,0.19822,0.14093,0.08083,1.21212,15.299,1.62429,0.00820525,0.00820525,0.00820525
16,9821.07,1.59081,2.64985,1.87576,0.49935,0.24846,0.17561,0.10277,1.16073,12.2087,1.56241,0.00795954,0.00795954,0.00795954
17,10437.8,1.60111,2.60073,1.87683,0.575,0.18806,0.16551,0.09854,1.19434,16.6078,1.60577,0.00770234,0.00770234,0.00770234
18,11056,1.57479,2.5442,1.85617,0.62004,0.20635,0.18011,0.10649,1.19007,12.3942,1.58497,0.00743468,0.00743468,0.00743468
